Latitude,Longitude
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
NaN,NaN
52.146237,4.500224
52.1461175,4.5000865
52.145902,4.500198
NaN,NaN
NaN,NaN
NaN,NaN
52.1450545,4.500333
NaN,NaN
52.144767,4.499793
52.1446155,4.4998445
52.1444025,4.500287
52.1443635,4.50042
52.144199,4.5009055
52.143997,4.501459
52.143525,4.5028475
52.143278,4.5036115
52.1429195,4.5046395
52.142616,4.5054305
52.1423975,4.505961
52.1422655,4.5065375
52.142097,4.507064
52.141852,4.507818
52.141276,4.509559
52.140833,4.5109895
52.140503,4.5118795
52.1402285,4.512762
52.1401005,4.513115
52.1399665,4.513681
52.1399895,4.5140795
52.140359,4.5152045
52.140593,4.5165985
52.1404135,4.517353
52.1404255,4.5177155
52.140303,4.5183495
52.140239,4.5186725
52.140614,4.519561
52.14102,4.5205355
52.1414965,4.521419
52.1419955,4.5223835
52.142112,4.5226155
52.142229,4.5231225
52.142235,4.5235635
52.142209,4.523948
52.142502,4.524886
52.142788,4.52564
52.1427815,4.5257085
52.1426575,4.5261955
52.1426965,4.526467
52.1424575,4.5272825
52.1422085,4.5282845
52.141921,4.5293135
52.141512,4.5302375
52.141395,4.5305245
52.1412105,4.5310005
52.140889,4.5315885
52.1409185,4.531972
52.1406535,4.5332555
52.1404395,4.5351635
52.140187,4.536122
52.139883,4.53702
52.139837,4.537318
52.1396735,4.5378195
52.139539,4.538273
52.1396125,4.5386445
52.1394995,4.540532
52.1394005,4.542267
52.138982,4.54377
52.1385025,4.54499
52.1379385,4.5460675
52.1374295,4.546824
52.1373115,4.5471025
52.1372705,4.5471855
52.1370305,4.548448
52.1367335,4.549259
52.136309,4.5505465
52.1355315,4.5521795
52.134532,4.553808
52.1337975,4.5549215
52.133264,4.5557865
52.132917,4.556488
52.1326145,4.557115
52.1321365,4.5582635
52.1318185,4.559477
52.1313005,4.561129
52.1308295,4.5619375
52.130464,4.5631795
52.1300295,4.564097
52.129554,4.566316
52.1292475,4.567543
52.128864,4.5686685
52.1285575,4.569894
52.128322,4.571333
52.1282595,4.572384
52.1281225,4.573269
52.128072,4.574777
52.127956,4.5774555
52.1278455,4.578308
52.1278135,4.578586
52.1278185,4.5787005
52.1279345,4.579214
52.127941,4.5802585
52.1280315,4.580624
52.128263,4.5831395
52.128429,4.584878
52.128476,4.585386
52.1285385,4.585662
52.128692,4.586038
52.1291775,4.587148
52.1292695,4.5874185
52.129391,4.5878285
52.129723,4.5889585
52.1300065,4.589586
52.1301215,4.589883
52.1302625,4.5899915
52.130564,4.5902145
52.1309655,4.5910945
52.1310485,4.591212
52.131114,4.5912985
52.131306,4.5912315
52.1315045,4.5913085
52.131554,4.591356
52.131745,4.591751
52.1319585,4.5919665
52.13195,4.5925375
52.131923,4.5932035
52.1321315,4.5933695
52.13256,4.5932975
52.132985,4.5929875
52.13307,4.5929755
52.133426,4.593428
52.1335015,4.593783
52.133473,4.594481
52.1334345,4.5951805
52.133659,4.595306
52.133995,4.595233
52.134552,4.59469
52.134728,4.594556
52.135304,4.594303
52.1356795,4.593958
52.1358885,4.593848
52.136574,4.593119
52.137221,4.592391
52.137845,4.5918835
52.1383005,4.591489
52.1387015,4.5914165
52.1392415,4.591167
52.140287,4.590308
52.1410965,4.5896855
52.1424795,4.588449
52.1437725,4.5872905
52.144491,4.586741
52.1449985,4.5863815
52.145586,4.5861695
52.1464835,4.585723
52.1477515,4.584838
52.1488695,4.5840365
52.149702,4.5833955
52.1505565,4.5827685
52.1507365,4.5826405
52.1510025,4.582705
52.1513145,4.582612
52.152154,4.583082
52.1529345,4.584145
52.153529,4.584592
52.153688,4.584768
52.154003,4.584655
52.154561,4.584463
52.1551135,4.5845285
52.155651,4.584431
52.155896,4.5853415
52.156595,4.586608
52.157488,4.5870995
52.158305,4.587075
52.1590335,4.5868475
52.160163,4.5864245
52.161172,4.586062
52.161815,4.5857975
52.1620975,4.585761
52.162709,4.5855125
52.163565,4.5851415
52.1645595,4.584686
52.165219,4.584689
52.165958,4.5849475
52.1666335,4.585038
52.1668265,4.5853065
52.1670975,4.585987
52.1672755,4.586793
52.1674385,4.587167
52.1675965,4.5873165
52.1673995,4.5877285
52.1674415,4.588372
52.16756,4.588852
52.167521,4.5894585
52.167499,4.59048
52.1675275,4.5922505
52.1678615,4.5942345
52.168078,4.5956185
52.167866,4.5962605
52.1676285,4.59721
52.1675265,4.5975345
52.167191,4.5981465
52.166923,4.598587
52.1660275,4.599789
52.165347,4.6016095
52.165366,4.602796
52.1653395,4.6033485
52.1651,4.6045895
52.1650575,4.6048095
52.1648745,4.605371
52.1649245,4.606721
52.1641605,4.6077165
52.1633465,4.608801
52.1633055,4.610073
52.1634225,4.6115155
52.1634705,4.612906
52.1636725,4.6141535
52.1637945,4.6152715
52.1641765,4.6178565
52.164489,4.619918
52.16469,4.621046
52.1649975,4.6227745
52.16521,4.624422
52.1654495,4.6262125
52.165817,4.6285785
52.16592,4.629681
52.166027,4.6313225
52.16623,4.632726
52.1662745,4.633496
52.166358,4.6342015
52.166466,4.635148
52.1667005,4.6365335
52.1669765,4.6380595
52.1671375,4.638646
52.1671025,4.6394155
52.1671335,4.6402145
52.1670985,4.6411045
52.1671235,4.64254
52.167264,4.644549
52.16742,4.6464665
52.1675545,4.6482715
52.167724,4.6500025
52.1677935,4.651802
52.1678675,4.6540295
52.167919,4.6554705
52.1679425,4.656848
52.1680155,4.6584175
NaN,NaN
52.167986,4.6625465
52.168021,4.664317
52.1680535,4.6660855
52.168101,4.668297
52.1681855,4.6708755
52.1682245,4.6727475
52.168316,4.674513
NaN,NaN
52.168289,4.677751
52.1684865,4.6786035
52.169405,4.679703
52.170233,4.680729
52.171105,4.682597
52.171679,4.684551
52.1718595,4.6861785
52.1719695,4.688016
52.171941,4.6885105
52.171757,4.689676
52.172062,4.691446
52.1724635,4.6924965
52.173134,4.6931045
52.1735745,4.693742
52.173527,4.694141
52.1734155,4.694448
52.173254,4.69481
52.1728405,4.695598
52.1721795,4.696801
52.171735,4.6976345
52.1715625,4.698133
52.1714875,4.6986795
52.1712545,4.6992005
52.170852,4.69969
52.17062,4.700019
52.170561,4.700145
52.170155,4.7008515
52.17005,4.7010485
52.1700085,4.7012955
52.1699405,4.701547
52.1697615,4.701977
52.1693665,4.7026365
52.1691435,4.703002
52.1689825,4.7033
52.168261,4.704551
52.1681285,4.7047715
52.167992,4.7050095
52.167643,4.70565
52.167174,4.7065985
52.166983,4.70697
52.1667865,4.70748
52.1666235,4.7080555
52.166257,4.708778
52.166198,4.709406
52.1661125,4.7105185
52.165856,4.7113175
52.1655655,4.71307
52.165603,4.713649
52.1655835,4.7142555
52.165633,4.7152085
52.1656555,4.715449
52.165722,4.716566
52.1657865,4.717924
52.165922,4.7195085
52.166022,4.72103
52.166154,4.722313
52.166259,4.7231515
52.16644,4.724614
52.1665135,4.724994
52.166827,4.7266075
52.167224,4.728483
52.167755,4.7314105
52.168238,4.733684
52.1686635,4.73592
52.1690515,4.7379095
52.1695495,4.7403605
52.1699615,4.742017
52.170628,4.7447635
52.171326,4.747625
52.17185,4.7497785
52.172523,4.752547
52.173242,4.755493
52.1737785,4.7576975
52.1742245,4.759533
52.174721,4.761539
52.175158,4.7635825
52.175525,4.76505
52.175739,4.765765
52.176308,4.768104
52.176788,4.770061
52.176987,4.7708745
52.1770245,4.771194
52.17721,4.772044
52.1773475,4.772855
52.177686,4.7741585
52.177951,4.7749905
52.178497,4.7771725
52.178881,4.77841
52.1789335,4.7785555
52.179054,4.779267
52.179149,4.779966
52.1795475,4.781613
52.1801435,4.784004
52.180668,4.786048
52.1812455,4.7883765
52.1818765,4.790596
52.1823095,4.792285
52.182818,4.794409
52.1830105,4.795456
52.1832415,4.797134
52.1833115,4.7985695
52.182877,4.800462
52.18261,4.8023345
52.18241,4.8041215
52.1820215,4.806203
52.181579,4.8082115
52.1809405,4.8093425
52.180443,4.8101425
52.180122,4.81059
52.178888,4.8119565
52.1779305,4.813009
52.176841,4.8144215
52.1755925,4.8158595
52.1745315,4.8168775
52.1733195,4.8182305
52.172649,4.818989
52.1724875,4.8193795
52.1720055,4.8208265
52.1716215,4.822465
52.170962,4.823782
52.1697915,4.82494
52.168847,4.8256635
52.1678565,4.826687
52.1673335,4.82726
52.167194,4.8273805
52.1671145,4.82731
52.166981,4.827212
52.1667665,4.8264385
52.1659555,4.8252625
52.1650875,4.824571
52.1644875,4.8245735
52.1640195,4.8239585
52.163684,4.822861
52.1633975,4.821225
52.16313,4.8193715
52.162662,4.8169145
52.1622835,4.814612
52.162079,4.8134945
52.1618665,4.812745
52.1615885,4.811653
52.161235,4.810302
52.160682,4.808198
52.1601165,4.806092
52.1596045,4.804156
